/*-----------------------------------------------------------------
* NUMERO INDIVIDUOS: 10 	 CROSS-OVER: 0.90
* NUMERO GERACOES  : 100 	 MUTACAO   : 0.50
* NUM MAXIMO NOS   : 30 	 ELITISMO  : 0.05
* PROFUNDIDADE MAX : 3 	 
*-----------------------------------------------------------------*/
Seed 4: 
(sqrt(0.82885)) | Numero de nos: 2 | Erro: 434176364904448.0000000000000000000000000 |
MELHOR: (*(sin(x1))(sqrt(sqrt(/(x1)(-(sqrt(0.80727))(cos(+(sin(0.72655))(-(sqrt(+(cos(/(-(cos(*(0.09720)(0.80727)))(x1))(0.11716)))(0.24567)))(x1))))))))) | Numero de nos: 28 | Erro: 434175861587968.0000000000000000000000000 |
MELHOR: (*(0.80727)(*(-(*(0.93579)(sqrt(-(x1)(sqrt(-(cos(/(sin(0.29719))(*(sin(cos(0.80727)))(*(/(*(x1)(cos(x1)))(0.80727))(x1)))))(x1))))))(x1))(0.66100))) | Numero de nos: 30 | Erro: 434175895142400.0000000000000000000000000 |
MELHOR: (*(0.87106)(sqrt(sqrt(/(x1)(-(sqrt(cos(0.47206)))(cos(sin(-(sqrt(cos(0.47206)))(cos(sin(+(+(0.79305)(cos(0.12360)))(-(sqrt(-(0.93579)(x1)))(0.92331))))))))))))) | Numero de nos: 29 | Erro: 434175224053760.0000000000000000000000000 |
MELHOR: (*(x1)(sqrt(sqrt(/(x1)(-(sqrt(cos(0.47206)))(cos(sin(sin(+(0.17487)(-(sqrt(+(cos(/(-(*(x1)(x1))(x1))(0.11716)))(0.24567)))(cos(x1)))))))))))) | Numero de nos: 29 | Erro: 434172036382720.0000000000000000000000000 |
MELHOR: (*(0.80727)(*(-(*(0.93579)(sqrt(-(x1)(cos(cos(*(cos(0.47206))(-(+(/(sqrt(sqrt(0.34407)))(sin(/(0.56056)(x1))))(x1))(x1))))))))(x1))(0.66100))) | Numero de nos: 28 | Erro: 434175895142400.0000000000000000000000000 |
MELHOR: (*(0.80727)(*(-(*(0.93579)(sqrt(-(x1)(0.26463))))(x1))(0.66100))) | Numero de nos: 12 | Erro: 434175895142400.0000000000000000000000000 |
MELHOR: (*(sqrt(x1))(sqrt(sqrt(/(x1)(-(sqrt(cos(0.47206)))(cos(sin(-(sqrt(cos(0.47206)))(cos(sin(+(+(0.47206)(cos(0.47206)))(-(sqrt(-(x1)(x1)))(0.93579))))))))))))) | Numero de nos: 30 | Erro: 434175123390464.0000000000000000000000000 |
MELHOR: (*(0.80727)(*(-(*(0.93579)(sqrt(-(x1)(0.26463))))(-(x1)(0.26463)))(-(/(0.45946)(sin(+(cos(/(sin(+(sqrt(x1))(sin(x1))))(0.47258)))(0.96008))))(x1)))) | Numero de nos: 29 | Erro: 433835216994304.0000000000000000000000000 |
MELHOR: (*(sqrt(x1))(sqrt(sqrt(/(x1)(-(sqrt(cos(0.47206)))(cos(sqrt(*(sqrt(-(sqrt(0.26432))(0.67965)))(sin(+(-(0.16187)(/(+(x1)(0.36961))(x1)))(0.97919))))))))))) | Numero de nos: 29 | Erro: 434169989562368.0000000000000000000000000 |
MELHOR: (*(sqrt(x1))(sqrt(sqrt(/(x1)(-(sqrt(cos(0.47206)))(cos(sqrt(*(sqrt(-(sqrt(0.26432))(0.67965)))(sin(+(-(0.16187)(/(+(x1)(0.36961))(x1)))(0.97919))))))))))) | Numero de nos: 29 | Erro: 434169989562368.0000000000000000000000000 |
