/*-----------------------------------------------------------------
* NUMERO INDIVIDUOS: 10 	 CROSS-OVER: 0.90
* NUMERO GERACOES  : 100 	 MUTACAO   : 0.40
* NUM MAXIMO NOS   : 30 	 ELITISMO  : 0.05
* PROFUNDIDADE MAX : 3 	 
*-----------------------------------------------------------------*/
Seed 3: 
MELHOR: (*(-(-(-(*(-(+(sqrt(x1))(0.74648))(cos(-(sin(0.35710))(x1))))(+(x1)(x1)))(0.65044))(0.39827))(cos(+(+(x1)(x1))(+(sqrt(0.07208))(x1)))))(x1)) | Numero de nos: 30 | Erro: 430250127261696.0000000000000000000000000 |
MELHOR: (*(-(-(-(*(-(+(sqrt(x1))(x1))(cos(sqrt(0.57350))))(sqrt(x1)))(x1))(x1))(cos(cos(*(cos(+(x1)(x1)))(sqrt(cos(0.03974)))))))(x1)) | Numero de nos: 28 | Erro: 433252175183872.0000000000000000000000000 |
MELHOR: (*(-(+(*(-(+(sqrt(cos(0.82339)))(+(x1)(x1)))(*(sin(sqrt(*(x1)(0.68520))))(0.82339)))(x1))(0.74648))(cos(-(*(0.72491)(0.25318))(x1))))(sqrt(x1))) | Numero de nos: 29 | Erro: 430878333337600.0000000000000000000000000 |
MELHOR: (*(-(+(*(-(+(+(cos(x1))(x1))(+(x1)(x1)))(*(sin(sqrt(*(x1)(0.68520))))(0.82339)))(x1))(0.74648))(cos(-(*(0.72491)(0.25318))(x1))))(sqrt(x1))) | Numero de nos: 30 | Erro: 429284699144192.0000000000000000000000000 |
MELHOR: (*(-(+(*(-(+(sqrt(cos(0.82339)))(+(x1)(x1)))(*(sin(sqrt(sin(-(0.68117)(0.38820)))))(0.82339)))(x1))(0.74648))(cos(-(*(0.72491)(0.25318))(x1))))(sqrt(x1))) | Numero de nos: 30 | Erro: 430912189759488.0000000000000000000000000 |
MELHOR: (*(-(+(*(-(+(sqrt(cos(0.82339)))(+(x1)(x1)))(*(sin(sqrt(sin(-(0.68117)(0.38820)))))(0.82339)))(x1))(0.74648))(cos(-(*(0.03974)(0.25318))(x1))))(sqrt(x1))) | Numero de nos: 30 | Erro: 430912223313920.0000000000000000000000000 |
MELHOR: (*(-(+(*(-(+(sqrt(sqrt(x1)))(+(x1)(x1)))(*(sin(sqrt(sin(-(0.68117)(0.38820)))))(0.82339)))(x1))(0.74648))(cos(-(*(0.03974)(0.25318))(x1))))(sqrt(x1))) | Numero de nos: 30 | Erro: 430857261154304.0000000000000000000000000 |
MELHOR: (*(-(+(*(-(+(sqrt(cos(x1)))(+(x1)(x1)))(*(sin(sqrt(sin(-(0.68117)(0.38820)))))(0.82339)))(x1))(0.74648))(cos(-(*(0.03974)(0.25318))(x1))))(sqrt(x1))) | Numero de nos: 30 | Erro: 430910948245504.0000000000000000000000000 |
MELHOR: (*(-(+(*(-(+(sqrt(cos(x1)))(+(x1)(x1)))(*(sin(sqrt(sin(-(0.68117)(0.38820)))))(0.82339)))(x1))(0.74648))(cos(-(*(0.03974)(0.25318))(x1))))(sqrt(x1))) | Numero de nos: 30 | Erro: 430910948245504.0000000000000000000000000 |
MELHOR: (*(-(+(*(-(+(sqrt(cos(0.82339)))(+(x1)(x1)))(*(sin(sqrt(sin(-(0.68117)(0.38820)))))(0.82339)))(x1))(0.74648))(cos(-(*(0.03974)(0.25318))(x1))))(sqrt(x1))) | Numero de nos: 30 | Erro: 430912223313920.0000000000000000000000000 |
