/*-----------------------------------------------------------------
* NUMERO INDIVIDUOS: 10 	 CROSS-OVER: 0.90
* NUMERO GERACOES  : 100 	 MUTACAO   : 0.40
* NUM MAXIMO NOS   : 30 	 ELITISMO  : 0.05
* PROFUNDIDADE MAX : 3 	 
*-----------------------------------------------------------------*/
Seed 2: 
MELHOR: (-(+(/(x1)(cos(+(+(0.34782)(*(x1)(-(-(/(sin(-(*(-(cos(0.91839))(x1))(0.46596))(0.47478)))(0.32966))(0.80203))(sqrt(0.47673)))))(0.01602))))(x1))(x1)) | Numero de nos: 29 | Erro: 434154453860352.0000000000000000000000000 |
MELHOR: (-(+(/(x1)(cos(+(+(0.34782)(*(x1)(-(-(-(/(sin(sqrt(-(sin(+(x1)(x1)))(x1))))(0.32966))(x1))(x1))(0.99783))))(0.01602))))(x1))(x1)) | Numero de nos: 29 | Erro: 434159520579584.0000000000000000000000000 |
MELHOR: (-(+(/(x1)(cos(+(+(0.34782)(*(x1)(-(-(/(sin(-(-(x1)(x1))(0.47478)))(0.32966))(sqrt(sqrt(sqrt(x1)))))(sqrt(0.47673)))))(x1))))(0.80203))(x1)) | Numero de nos: 29 | Erro: 434149353586688.0000000000000000000000000 |
MELHOR: (-(+(/(x1)(cos(+(+(0.34782)(*(x1)(-(-(/(sin(-(-(x1)(x1))(0.47478)))(0.32966))(sqrt(sqrt(sqrt(x1)))))(sqrt(0.47673)))))(x1))))(0.47478))(x1)) | Numero de nos: 29 | Erro: 434149487804416.0000000000000000000000000 |
MELHOR: (-(+(/(x1)(cos(+(+(0.47713)(*(x1)(-(-(/(sin(-(*(-(cos(0.91839))(x1))(0.32966))(0.47478)))(0.47673))(0.80203))(sqrt(0.47478)))))(0.01602))))(0.47673))(x1)) | Numero de nos: 29 | Erro: 434154789404672.0000000000000000000000000 |
MELHOR: (-(+(/(x1)(cos(+(+(0.34782)(*(x1)(-(-(/(sin(-(*(-(cos(0.91839))(x1))(0.32966))(0.47478)))(0.47673))(0.80203))(sqrt(0.47478)))))(0.01602))))(0.47673))(x1)) | Numero de nos: 29 | Erro: 434120664547328.0000000000000000000000000 |
MELHOR: (-(+(/(x1)(cos(+(+(0.34782)(*(x1)(-(-(/(sin(-(*(-(cos(0.91839))(x1))(0.32966))(0.47478)))(cos(x1)))(0.80203))(sqrt(0.47478)))))(0.01602))))(0.47673))(x1)) | Numero de nos: 30 | Erro: 434059729698816.0000000000000000000000000 |
MELHOR: (-(+(/(x1)(cos(+(+(0.34782)(*(x1)(-(-(/(sin(-(*(-(cos(0.91839))(x1))(0.32966))(0.47478)))(cos(x1)))(0.80203))(sqrt(0.47478)))))(0.01602))))(0.47673))(x1)) | Numero de nos: 30 | Erro: 434059729698816.0000000000000000000000000 |
MELHOR: (-(+(/(x1)(cos(+(+(0.34782)(*(x1)(-(-(/(sin(-(*(-(cos(0.91839))(x1))(0.32966))(0.47478)))(cos(x1)))(0.80203))(sqrt(0.47478)))))(0.01602))))(0.91839))(x1)) | Numero de nos: 30 | Erro: 434059561926656.0000000000000000000000000 |
MELHOR: (-(+(/(x1)(cos(+(+(0.34782)(*(x1)(-(-(/(sin(-(*(-(cos(0.91839))(x1))(0.32966))(0.47478)))(cos(x1)))(0.80203))(sqrt(0.47478)))))(0.01602))))(0.91839))(0.27769)) | Numero de nos: 30 | Erro: 434060098797568.0000000000000000000000000 |
