/*-----------------------------------------------------------------
* NUMERO INDIVIDUOS: 10 	 CROSS-OVER: 0.90
* NUMERO GERACOES  : 100 	 MUTACAO   : 0.50
* NUM MAXIMO NOS   : 30 	 ELITISMO  : 0.05
* PROFUNDIDADE MAX : 3 	 
*-----------------------------------------------------------------*/
Seed 9: 
(cos(sin(sin(sqrt(x1))))) | Numero de nos: 5 | Erro: 434176398458880.0000000000000000000000000 |
MELHOR: (-(*(0.15036)(x1))(-(-(*(sqrt(sin(*(-(/(sqrt(0.39839))(0.17444))(sqrt(0.29878)))(x1))))(x1))(x1))(*(x1)(*(*(sqrt(+(x1)(0.88885)))(x1))(x1))))) | Numero de nos: 30 | Erro: 387601236230144.0000000000000000000000000 |
MELHOR: (-(sqrt(x1))(-(-(*(sqrt(sin(*(-(/(sqrt(0.39839))(0.17444))(sqrt(0.29878)))(x1))))(x1))(x1))(*(x1)(*(*(sqrt(+(x1)(0.88885)))(x1))(x1))))) | Numero de nos: 29 | Erro: 387600296706048.0000000000000000000000000 |
MELHOR: (-(sqrt(0.28880))(-(-(*(sqrt(sin(*(-(/(sqrt(0.39839))(0.17444))(sqrt(0.29878)))(x1))))(x1))(x1))(*(x1)(*(*(sqrt(+(x1)(0.88885)))(x1))(x1))))) | Numero de nos: 29 | Erro: 387600867131392.0000000000000000000000000 |
MELHOR: (-(*(0.15036)(0.52852))(-(-(*(sqrt(sin(*(-(/(sqrt(0.39839))(0.17444))(sqrt(0.29878)))(0.91620))))(x1))(x1))(*(x1)(*(*(sqrt(+(x1)(0.88885)))(x1))(x1))))) | Numero de nos: 30 | Erro: 387600833576960.0000000000000000000000000 |
MELHOR: (-(*(0.15036)(0.52852))(-(-(*(sqrt(+(sqrt(*(sqrt(-(cos(0.61885))(0.93997)))(0.69024)))(0.36927)))(x1))(x1))(*(x1)(*(*(sqrt(+(x1)(x1)))(x1))(x1))))) | Numero de nos: 30 | Erro: 367358820483072.0000000000000000000000000 |
MELHOR: (-(*(0.15036)(0.52852))(-(-(*(sqrt(sin(*(-(/(sqrt(0.39839))(x1))(0.61418))(0.91620))))(x1))(x1))(*(x1)(*(*(sqrt(+(x1)(x1)))(x1))(x1))))) | Numero de nos: 29 | Erro: 367359055364096.0000000000000000000000000 |
MELHOR: (-(*(0.15036)(0.23820))(-(-(*(sqrt(+(sqrt(*(sqrt(-(cos(0.61885))(0.75555)))(0.69024)))(0.36927)))(x1))(x1))(*(x1)(*(*(sqrt(+(x1)(x1)))(x1))(x1))))) | Numero de nos: 30 | Erro: 367359290245120.0000000000000000000000000 |
MELHOR: (-(*(0.15036)(0.23820))(-(-(*(sqrt(+(sqrt(*(sqrt(sin(sin(cos(0.60509)))))(0.69024)))(0.36927)))(x1))(x1))(*(x1)(*(*(sqrt(+(x1)(x1)))(x1))(x1))))) | Numero de nos: 30 | Erro: 367358954700800.0000000000000000000000000 |
MELHOR: (-(*(0.15036)(0.23820))(-(-(*(sqrt(+(sqrt(*(sqrt(-(cos(x1))(0.75555)))(0.69024)))(0.36927)))(x1))(x1))(*(x1)(*(*(sqrt(+(x1)(x1)))(x1))(x1))))) | Numero de nos: 30 | Erro: 367358954700800.0000000000000000000000000 |
MELHOR: (-(*(0.15036)(x1))(-(-(*(sqrt(+(sqrt(*(x1)(sin(sin(+(0.48747)(x1))))))(0.36927)))(x1))(x1))(*(x1)(*(*(sqrt(+(x1)(x1)))(x1))(x1))))) | Numero de nos: 30 | Erro: 367358283612160.0000000000000000000000000 |
MELHOR: (-(*(0.15036)(x1))(-(-(*(sqrt(+(sqrt(*(x1)(sin(sin(+(0.48747)(x1))))))(0.36927)))(x1))(x1))(*(x1)(*(*(sqrt(+(x1)(x1)))(x1))(x1))))) | Numero de nos: 30 | Erro: 367358283612160.0000000000000000000000000 |
MELHOR: (-(*(0.15036)(0.45326))(-(-(*(sqrt(+(sqrt(*(x1)(sin(sin(+(0.48747)(x1))))))(0.36927)))(x1))(x1))(*(x1)(*(*(sqrt(+(x1)(x1)))(x1))(x1))))) | Numero de nos: 30 | Erro: 367358082285568.0000000000000000000000000 |
MELHOR: (-(*(0.15036)(x1))(-(-(x1)(x1))(*(x1)(*(*(sqrt(+(x1)(x1)))(x1))(x1))))) | Numero de nos: 18 | Erro: 367359223136256.0000000000000000000000000 |
MELHOR: (-(*(0.15036)(x1))(-(-(x1)(x1))(*(x1)(*(*(sqrt(+(x1)(x1)))(x1))(x1))))) | Numero de nos: 18 | Erro: 367359223136256.0000000000000000000000000 |
MELHOR: (-(sqrt(0.84045))(-(-(*(sqrt(sin(*(-(/(sqrt(0.15036))(x1))(+(0.27805)(x1)))(x1))))(x1))(x1))(*(x1)(*(*(sqrt(+(x1)(x1)))(x1))(x1))))) | Numero de nos: 30 | Erro: 367359390908416.0000000000000000000000000 |
MELHOR: (-(x1)(-(-(*(sqrt(sin(-(cos(-(sin(x1))(sqrt(x1))))(*(sin(0.91296))(x1)))))(x1))(x1))(*(x1)(*(*(sqrt(+(x1)(x1)))(x1))(x1))))) | Numero de nos: 30 | Erro: 367360733085696.0000000000000000000000000 |
MELHOR: (-(x1)(-(-(*(sqrt(sin(+(-(x1)(*(*(/(x1)(x1))(0.62893))(x1)))(x1))))(x1))(x1))(*(x1)(*(*(sqrt(+(x1)(x1)))(x1))(x1))))) | Numero de nos: 30 | Erro: 367360632422400.0000000000000000000000000 |
MELHOR: (-(x1)(-(-(*(sqrt(sin(-(cos(-(sin(x1))(0.27805)))(*(sin(0.91296))(x1)))))(x1))(x1))(*(x1)(*(*(sqrt(+(x1)(x1)))(x1))(x1))))) | Numero de nos: 29 | Erro: 367360766640128.0000000000000000000000000 |
MELHOR: (-(x1)(-(-(*(sqrt(sin(+(-(x1)(*(*(+(0.67345)(0.90719))(0.62893))(x1)))(x1))))(x1))(0.81265))(*(x1)(*(*(sqrt(+(x1)(x1)))(x1))(x1))))) | Numero de nos: 30 | Erro: 367359156027392.0000000000000000000000000 |
MELHOR: (-(x1)(-(-(*(sqrt(sin(+(-(x1)(*(*(+(0.67345)(0.90719))(0.62893))(x1)))(x1))))(x1))(0.81265))(*(x1)(*(*(sqrt(+(x1)(x1)))(x1))(x1))))) | Numero de nos: 30 | Erro: 367359156027392.0000000000000000000000000 |
MELHOR: (-(x1)(-(-(*(sqrt(sin(+(-(x1)(*(*(+(0.67345)(0.90719))(0.62893))(x1)))(x1))))(x1))(0.81265))(*(x1)(*(*(sqrt(+(x1)(x1)))(x1))(x1))))) | Numero de nos: 30 | Erro: 367359156027392.0000000000000000000000000 |
MELHOR: (-(x1)(-(-(*(sqrt(sin(+(-(x1)(*(*(+(x1)(0.90719))(0.62893))(x1)))(x1))))(x1))(0.81265))(*(x1)(*(*(sqrt(+(x1)(x1)))(x1))(x1))))) | Numero de nos: 30 | Erro: 367359390908416.0000000000000000000000000 |
MELHOR: (-(x1)(-(-(*(sqrt(sin(+(-(x1)(*(*(+(x1)(0.90719))(0.62893))(x1)))(x1))))(x1))(0.81265))(*(x1)(*(*(sqrt(+(x1)(x1)))(x1))(x1))))) | Numero de nos: 30 | Erro: 367359390908416.0000000000000000000000000 |
MELHOR: (-(x1)(-(-(*(sqrt(sin(+(-(x1)(*(*(+(0.21152)(0.90719))(0.62893))(x1)))(x1))))(x1))(0.62893))(*(x1)(*(*(sqrt(+(x1)(x1)))(x1))(x1))))) | Numero de nos: 30 | Erro: 367358417829888.0000000000000000000000000 |
MELHOR: (-(0.84893)(-(-(*(sqrt(sin(+(sin(-(/(sin(cos(sqrt(0.93448))))(x1))(x1)))(x1))))(x1))(0.81265))(*(x1)(*(*(sqrt(+(x1)(x1)))(x1))(x1))))) | Numero de nos: 30 | Erro: 367356874326016.0000000000000000000000000 |
MELHOR: (-(x1)(-(-(*(sqrt(sin(+(-(x1)(*(*(+(x1)(0.90719))(x1))(x1)))(x1))))(x1))(0.81265))(*(x1)(*(*(sqrt(+(x1)(x1)))(x1))(x1))))) | Numero de nos: 30 | Erro: 367359290245120.0000000000000000000000000 |
MELHOR: (-(0.81265)(-(-(*(sqrt(sin(+(-(x1)(*(*(+(x1)(0.90719))(x1))(x1)))(x1))))(x1))(0.81265))(*(x1)(*(*(sqrt(+(x1)(x1)))(x1))(x1))))) | Numero de nos: 30 | Erro: 367357511860224.0000000000000000000000000 |
MELHOR: (-(x1)(-(-(*(sqrt(sin(+(-(0.62893)(*(*(+(x1)(0.90719))(x1))(x1)))(x1))))(x1))(0.81265))(*(x1)(*(*(sqrt(+(x1)(x1)))(x1))(x1))))) | Numero de nos: 30 | Erro: 367359290245120.0000000000000000000000000 |
MELHOR: (-(x1)(-(-(*(sqrt(sin(cos(0.90304))))(x1))(*(x1)(*(*(sqrt(+(x1)(x1)))(x1))(x1))))(*(x1)(*(*(sqrt(+(x1)(x1)))(x1))(x1))))) | Numero de nos: 30 | Erro: 318786364243968.0000000000000000000000000 |
MELHOR: (-(x1)(-(-(*(sqrt(sin(cos(0.90304))))(x1))(*(x1)(*(*(sqrt(+(x1)(x1)))(x1))(0.47569))))(*(x1)(*(*(sqrt(+(x1)(x1)))(x1))(x1))))) | Numero de nos: 30 | Erro: 366504155545600.0000000000000000000000000 |
MELHOR: (-(x1)(-(-(*(sqrt(sin(cos(0.90304))))(x1))(*(x1)(*(*(sqrt(+(x1)(x1)))(x1))(0.47569))))(*(x1)(*(*(+(0.21241)(x1))(x1))(x1))))) | Numero de nos: 29 | Erro: 124184690688.0000000000000000000000000 |
MELHOR: (-(x1)(-(-(*(sqrt(sin(cos(0.90304))))(x1))(*(x1)(*(*(sqrt(+(x1)(x1)))(x1))(0.47569))))(*(x1)(*(*(+(0.21241)(x1))(x1))(x1))))) | Numero de nos: 29 | Erro: 124184690688.0000000000000000000000000 |
MELHOR: (-(x1)(-(-(*(sqrt(sin(cos(0.90304))))(x1))(*(x1)(*(*(sqrt(+(x1)(x1)))(x1))(0.47569))))(*(x1)(*(*(+(0.21241)(x1))(x1))(x1))))) | Numero de nos: 29 | Erro: 124184690688.0000000000000000000000000 |
MELHOR: (-(x1)(-(-(*(sqrt(sin(cos(0.90304))))(x1))(*(x1)(*(sin(sin(sqrt(*(cos(0.65270))(0.77377)))))(x1))))(*(x1)(*(*(+(0.21241)(x1))(x1))(x1))))) | Numero de nos: 30 | Erro: 138645585920.0000000000000000000000000 |
