/*-----------------------------------------------------------------
* NUMERO INDIVIDUOS: 10 	 CROSS-OVER: 0.90
* NUMERO GERACOES  : 100 	 MUTACAO   : 0.40
* NUM MAXIMO NOS   : 30 	 ELITISMO  : 0.05
* PROFUNDIDADE MAX : 3 	 
*-----------------------------------------------------------------*/
Seed 8: 
MELHOR: (*(x1)(/(+(cos(*(sin(x1))(0.88314)))(+(/(-(0.18119)(sqrt(-(-(-(0.58837)(+(/(x1)(0.44636))(/(0.84460)(x1))))(x1))(0.04465))))(0.04465))(x1)))(0.04465))) | Numero de nos: 30 | Erro: 396420079157248.0000000000000000000000000 |
MELHOR: (*(x1)(/(+(cos(*(sin(x1))(0.88314)))(+(/(-(0.18119)(sqrt(-(-(-(0.58837)(+(/(x1)(0.04465))(/(0.84460)(x1))))(x1))(0.04465))))(0.04465))(x1)))(0.04465))) | Numero de nos: 30 | Erro: 351363254976512.0000000000000000000000000 |
MELHOR: (*(x1)(/(+(cos(x1))(+(/(+(/(-(0.18119)(sqrt(-(-(-(0.58837)(cos(x1)))(x1))(x1))))(0.04465))(0.84460))(0.04465))(x1)))(0.04465))) | Numero de nos: 26 | Erro: 319970433040384.0000000000000000000000000 |
MELHOR: (*(x1)(/(+(cos(*(sin(x1))(x1)))(+(/(-(0.18119)(sqrt(-(-(-(0.04465)(+(/(x1)(0.04465))(/(0.84460)(x1))))(x1))(0.04465))))(0.04465))(0.91678)))(0.04465))) | Numero de nos: 30 | Erro: 360238704230400.0000000000000000000000000 |
MELHOR: (*(x1)(/(+(cos(*(sin(x1))(0.88314)))(+(/(-(0.18119)(sqrt(-(-(-(0.58837)(+(/(x1)(x1))(/(0.84460)(x1))))(x1))(0.04465))))(0.04465))(x1)))(0.04465))) | Numero de nos: 30 | Erro: 409699983818752.0000000000000000000000000 |
MELHOR: (*(x1)(/(+(cos(*(sqrt(x1))(0.88314)))(+(/(-(0.18119)(sqrt(-(-(-(0.58837)(+(/(x1)(x1))(/(0.84460)(x1))))(x1))(0.04465))))(0.04465))(x1)))(0.04465))) | Numero de nos: 30 | Erro: 409680287367168.0000000000000000000000000 |
MELHOR: (*(x1)(/(+(cos(*(sin(x1))(0.88314)))(+(/(-(0.18119)(sqrt(-(-(-(0.58837)(+(/(0.58837)(x1))(/(0.84460)(x1))))(x1))(0.04465))))(0.04465))(x1)))(0.04465))) | Numero de nos: 30 | Erro: 409502952194048.0000000000000000000000000 |
MELHOR: (*(x1)(/(+(cos(*(sin(x1))(0.88314)))(+(/(-(x1)(sqrt(-(-(-(0.04465)(+(/(x1)(x1))(/(0.84460)(0.10422))))(x1))(0.04465))))(0.04465))(x1)))(0.04465))) | Numero de nos: 30 | Erro: 225475632824320.0000000000000000000000000 |
MELHOR: (*(x1)(/(+(cos(*(sin(x1))(0.88314)))(+(/(-(x1)(sqrt(-(-(-(0.04465)(+(/(x1)(x1))(/(x1)(0.10422))))(x1))(0.04465))))(0.04465))(x1)))(0.04465))) | Numero de nos: 30 | Erro: 200290884124672.0000000000000000000000000 |
MELHOR: (*(x1)(/(+(cos(*(sin(x1))(0.88314)))(+(/(-(x1)(sqrt(-(-(-(0.04465)(+(/(x1)(0.16999))(/(x1)(0.10422))))(x1))(0.04465))))(0.04465))(x1)))(0.04465))) | Numero de nos: 30 | Erro: 192713890725888.0000000000000000000000000 |
MELHOR: (*(x1)(/(+(cos(*(0.64113)(0.88314)))(+(/(-(x1)(sqrt(-(-(-(0.04465)(+(/(x1)(0.16999))(/(x1)(0.10422))))(x1))(0.04465))))(0.04465))(x1)))(0.04465))) | Numero de nos: 29 | Erro: 192711692910592.0000000000000000000000000 |
MELHOR: (*(x1)(/(+(cos(*(0.64113)(0.88314)))(+(/(-(x1)(sqrt(-(-(-(0.04465)(+(/(x1)(0.16999))(/(x1)(0.10422))))(x1))(0.04465))))(0.04465))(x1)))(0.04465))) | Numero de nos: 29 | Erro: 192711692910592.0000000000000000000000000 |
MELHOR: (*(x1)(/(+(cos(*(sin(x1))(0.47703)))(+(/(-(x1)(sqrt(-(-(-(0.04465)(+(/(x1)(0.16999))(/(x1)(0.56575))))(x1))(0.04465))))(0.04465))(x1)))(0.04465))) | Numero de nos: 30 | Erro: 203343951560704.0000000000000000000000000 |
MELHOR: (*(x1)(/(+(cos(*(0.64113)(0.88314)))(+(/(-(x1)(sqrt(-(-(-(0.04465)(+(/(x1)(0.16999))(/(x1)(0.16999))))(x1))(0.04465))))(0.04465))(x1)))(0.04465))) | Numero de nos: 29 | Erro: 197211359019008.0000000000000000000000000 |
MELHOR: (*(x1)(/(+(cos(*(0.64113)(0.88314)))(+(/(-(x1)(sqrt(-(sqrt(*(-(+(0.02042)(0.00089))(cos(sqrt(-(x1)(0.43474)))))(0.37815)))(0.04465))))(0.04465))(x1)))(0.04465))) | Numero de nos: 30 | Erro: 234358917038080.0000000000000000000000000 |
MELHOR: (*(x1)(/(+(cos(*(0.64113)(0.88314)))(+(/(-(x1)(sqrt(-(sqrt(*(-(+(0.02042)(0.04465))(cos(sqrt(-(x1)(0.43474)))))(0.76827)))(0.04465))))(0.04465))(x1)))(0.04465))) | Numero de nos: 30 | Erro: 234357054767104.0000000000000000000000000 |
MELHOR: (*(x1)(/(+(cos(*(0.64113)(x1)))(+(/(-(x1)(sqrt(-(sqrt(*(-(+(0.02042)(0.43474))(cos(sqrt(-(x1)(0.43474)))))(0.37815)))(0.04465))))(0.04465))(x1)))(0.04465))) | Numero de nos: 30 | Erro: 234355662258176.0000000000000000000000000 |
MELHOR: (*(x1)(/(+(cos(*(0.64113)(x1)))(+(/(-(x1)(sqrt(-(sqrt(*(-(+(0.02042)(0.43474))(cos(sqrt(-(x1)(0.43474)))))(0.37815)))(0.04465))))(0.04465))(x1)))(0.04465))) | Numero de nos: 30 | Erro: 234355662258176.0000000000000000000000000 |
MELHOR: (*(x1)(/(+(cos(*(0.64113)(x1)))(+(/(-(x1)(sqrt(-(sqrt(*(-(+(0.04465)(0.04465))(cos(sqrt(-(x1)(0.43474)))))(0.76827)))(0.04465))))(0.04465))(x1)))(0.04465))) | Numero de nos: 30 | Erro: 234362138263552.0000000000000000000000000 |
MELHOR: (*(x1)(/(+(cos(*(0.64113)(x1)))(+(/(-(x1)(sqrt(-(sqrt(*(-(+(0.04465)(0.04465))(cos(sqrt(-(x1)(0.43474)))))(0.93026)))(0.04465))))(0.04465))(x1)))(0.04465))) | Numero de nos: 30 | Erro: 234361735610368.0000000000000000000000000 |
MELHOR: (*(x1)(/(+(cos(*(0.64113)(x1)))(+(/(-(x1)(sqrt(-(sqrt(*(-(+(0.04465)(0.04465))(cos(sqrt(-(x1)(0.43474)))))(x1)))(0.04465))))(0.04465))(x1)))(0.04465))) | Numero de nos: 30 | Erro: 232296258994176.0000000000000000000000000 |
