/*-----------------------------------------------------------------
* NUMERO INDIVIDUOS: 100 	 CROSS-OVER: 0.90
* NUMERO GERACOES  : 1000 	 MUTACAO   : 0.50
* NUM MAXIMO NOS   : 30 	 ELITISMO  : 0.05
* PROFUNDIDADE MAX : 3 	 
*-----------------------------------------------------------------*/
Seed 8: 
(+(*(+(x1)(x1))(-(0.41380)(0.83138)))(-(*(x1)(x1))(-(x1)(x1)))) | Numero de nos: 15 | Erro: 433729721860096.0000000000000000000000000 |
(/(-(-(0.04996)(x1))(-(x1)(x1)))(*(+(x1)(0.53685))(/(0.88943)(x1)))) | Numero de nos: 15 | Erro: 434176029360128.0000000000000000000000000 |
(+(/(-(0.57488)(x1))(-(0.55675)(0.94092)))(/(+(x1)(0.58339))(-(0.13898)(0.10404)))) | Numero de nos: 15 | Erro: 434184552185856.0000000000000000000000000 |
(/(-(*(0.13401)(0.39879))(/(x1)(0.20679)))(-(*(0.64318)(x1))(/(x1)(x1)))) | Numero de nos: 15 | Erro: 434178512388096.0000000000000000000000000 |
(*(/(+(x1)(x1))(*(0.05646)(0.54842)))(/(*(x1)(x1))(+(x1)(0.67379)))) | Numero de nos: 15 | Erro: 405823742279680.0000000000000000000000000 |
(/(-(*(x1)(x1))(/(0.67638)(0.28172)))(+(*(0.52486)(0.30036))(+(0.71673)(x1)))) | Numero de nos: 15 | Erro: 434177136656384.0000000000000000000000000 |
(+(-(/(x1)(0.24384))(+(0.22199)(x1)))(-(/(x1)(x1))(-(0.98230)(0.15534)))) | Numero de nos: 15 | Erro: 434177707081728.0000000000000000000000000 |
(+(+(-(0.63561)(x1))(-(x1)(0.19495)))(+(-(0.38856)(0.10685))(*(x1)(0.54637)))) | Numero de nos: 15 | Erro: 434176499122176.0000000000000000000000000 |
(*(/(/(0.32505)(0.51808))(-(0.73080)(0.22089)))(-(/(0.52187)(0.03006))(-(0.65368)(x1)))) | Numero de nos: 15 | Erro: 434171902164992.0000000000000000000000000 |
(+(-(*(0.84545)(0.77731))(/(x1)(x1)))(*(*(x1)(x1))(*(0.05939)(x1)))) | Numero de nos: 15 | Erro: 434243675095040.0000000000000000000000000 |
