Seed 1: 
(0.19816) | Numero de nos: 1 | Erro = 434176599785472.0000000000000000000000000  
(/(sqrt (x1))(sqrt (sin (/(/(*(sqrt (sqrt (/(/(sqrt (sqrt (0.89383)))(*(-(*(-(sin (sqrt (0.79199)))(x1))(x1))(x1))(0.02405)))(x1))))(0.79693))(0.48189))(0.00085))))) | Numero de nos: 30 | Erro = 434173915430912.0000000000000000000000000  
(*(-(+(sin (sin (cos (+(*(x1)(0.43626))(*(0.29530)(cos (/(sqrt (sqrt (sin (sqrt (*(+(+(x1)(x1))(0.26936))(x1))))))(sqrt (0.84478)))))))))(x1))(x1))(x1)) | Numero de nos: 30 | Erro = 434176432013312.0000000000000000000000000  
(sqrt (x1)) | Numero de nos: 2 | Erro = 434175693815808.0000000000000000000000000  
(cos (/(-(*(sqrt (-(/(-(-(+(+(-(/(sin (*(x1)(+(x1)(0.73592))))(x1))(x1))(x1))(0.91543))(x1))(x1))(0.41847))(x1)))(x1))(0.90652))(x1))) | Numero de nos: 30 | Erro = 434176633339904.0000000000000000000000000  
(sqrt (+(sin (0.85202))(/(-(0.86935)(-(-(*(0.36689)(/(cos (cos (-(+(-(cos (+(/(x1)(x1))(x1)))(x1))(0.13962))(0.68166))))(x1)))(x1))(x1)))(x1)))) | Numero de nos: 30 | Erro = 434176197132288.0000000000000000000000000  
(*(/(cos (-(sin (sin (cos (sin (+(x1)(0.63097))))))(+(cos (*(+(x1)(*(+(*(/(x1)(sqrt (0.35160)))(x1))(x1))(x1)))(x1)))(x1))))(x1))(0.01007)) | Numero de nos: 30 | Erro = 434176633339904.0000000000000000000000000  
(/(+(sin (0.33296))(sin (x1)))(sin (sin (0.23304)))) | Numero de nos: 9 | Erro = 434176197132288.0000000000000000000000000  
(cos (/(+(0.58397)(0.40703))(-(0.08005)(x1)))) | Numero de nos: 8 | Erro = 434176364904448.0000000000000000000000000  
(*(*(sqrt (0.21622))(/(0.87442)(x1)))(sqrt (cos (x1)))) | Numero de nos: 10 | Erro = 434176633339904.0000000000000000000000000  
(cos (cos (/(x1)(0.02878)))) | Numero de nos: 5 | Erro = 434176465567744.0000000000000000000000000  
(cos (*(/(0.16984)(0.23148))(sin (x1)))) | Numero de nos: 7 | Erro = 434176398458880.0000000000000000000000000  
(cos (cos (sin (x1)))) | Numero de nos: 4 | Erro = 434176432013312.0000000000000000000000000  
(*(*(sqrt (x1))(sin (0.47575)))(-(-(x1)(x1))(cos (x1)))) | Numero de nos: 12 | Erro = 434176599785472.0000000000000000000000000  
(-(sqrt (sqrt (x1)))(-(cos (x1))(/(0.47288)(x1)))) | Numero de nos: 10 | Erro = 434176264241152.0000000000000000000000000  
(sqrt (sqrt (sqrt (0.13611)))) | Numero de nos: 4 | Erro = 434176398458880.0000000000000000000000000  
(cos (+(sin (x1))(sin (0.29875)))) | Numero de nos: 6 | Erro = 434176398458880.0000000000000000000000000  
(sqrt (sin (+(x1)(0.02301)))) | Numero de nos: 5 | Erro = 434176398458880.0000000000000000000000000  
(/(sin (/(0.40980)(x1)))(sin (/(x1)(0.05823)))) | Numero de nos: 9 | Erro = 434176633339904.0000000000000000000000000  
(/(sqrt (*(x1)(x1)))(+(sqrt (0.81808))(sin (x1)))) | Numero de nos: 10 | Erro = 434060098797568.0000000000000000000000000  
(sqrt (/(/(x1)(x1))(sqrt (0.15323)))) | Numero de nos: 7 | Erro = 434176230686720.0000000000000000000000000  
