/*-----------------------------------------------------------------
* NUMERO INDIVIDUOS: 100 	 CROSS-OVER: 0.90
* NUMERO GERACOES  : 1000 	 MUTACAO   : 0.30
* NUM MAXIMO NOS   : 30 	 ELITISMO  : 0.05
* PROFUNDIDADE MAX : 3 	 
*-----------------------------------------------------------------*/
Seed 4: 
(-(*(*(x1)(0.52864))(-(x1)(0.92669)))(-(-(x1)(0.01749))(-(x1)(x1)))) | Numero de nos: 15 | Erro: 433939839713280.0000000000000000000000000 |
(+(*(+(0.42051)(0.53111))(-(x1)(x1)))(*(*(x1)(x1))(/(0.68709)(0.55928)))) | Numero de nos: 15 | Erro: 433628018376704.0000000000000000000000000 |
(+(/(-(x1)(x1))(+(x1)(0.60210)))(*(-(0.28727)(0.95779))(-(0.78271)(0.74178)))) | Numero de nos: 15 | Erro: 434176633339904.0000000000000000000000000 |
(/(-(+(0.87582)(x1))(/(x1)(0.57186)))(*(+(x1)(x1))(+(x1)(0.98596)))) | Numero de nos: 15 | Erro: 434176633339904.0000000000000000000000000 |
(-(*(*(x1)(0.06671))(+(0.72005)(x1)))(+(*(0.53069)(x1))(*(0.37141)(0.01352)))) | Numero de nos: 15 | Erro: 434146568568832.0000000000000000000000000 |
(-(/(+(x1)(0.17487))(/(0.79955)(0.83474)))(*(*(0.92331)(x1))(+(x1)(x1)))) | Numero de nos: 15 | Erro: 435002273693696.0000000000000000000000000 |
(*(+(*(0.86938)(x1))(-(x1)(0.50417)))(+(+(x1)(0.86740))(-(0.45839)(0.69802)))) | Numero de nos: 15 | Erro: 433342369497088.0000000000000000000000000 |
(+(/(+(x1)(x1))(*(0.77569)(x1)))(*(-(x1)(0.19025))(*(0.25840)(x1)))) | Numero de nos: 15 | Erro: 434060467896320.0000000000000000000000000 |
(*(+(+(0.81463)(0.80990))(/(0.74813)(x1)))(/(+(0.25965)(0.75240))(*(0.82360)(x1)))) | Numero de nos: 15 | Erro: 434176599785472.0000000000000000000000000 |
(*(*(/(0.50432)(0.08423))(*(0.33134)(0.27183)))(+(/(0.01987)(0.89502))(*(0.15851)(0.31257)))) | Numero de nos: 15 | Erro: 434176633339904.0000000000000000000000000 |
(-(*(*(0.43168)(x1))(-(x1)(x1)))(*(-(0.07724)(x1))(-(x1)(x1)))) | Numero de nos: 15 | Erro: 434176633339904.0000000000000000000000000 |
(+(-(-(x1)(0.96445))(+(0.33586)(0.43742)))(*(*(x1)(x1))(*(x1)(x1)))) | Numero de nos: 15 | Erro: 223026659328.0000000000000000000000000 |
(/(-(/(0.15198)(x1))(-(x1)(x1)))(-(/(0.76446)(x1))(-(0.85177)(0.77554)))) | Numero de nos: 15 | Erro: 434176633339904.0000000000000000000000000 |
(-(*(-(0.81155)(0.33705))(*(0.36113)(0.88720)))(-(/(x1)(0.69582))(/(x1)(x1)))) | Numero de nos: 15 | Erro: 434175760924672.0000000000000000000000000 |
(+(+(-(0.63015)(0.02448))(/(x1)(x1)))(-(+(x1)(0.47172))(-(x1)(0.34205)))) | Numero de nos: 15 | Erro: 434176062914560.0000000000000000000000000 |
(+(/(+(0.43892)(x1))(-(0.07682)(x1)))(-(/(0.41163)(0.21595))(/(0.68145)(0.53508)))) | Numero de nos: 15 | Erro: 434176734003200.0000000000000000000000000 |
(/(/(*(x1)(0.17209))(*(0.95904)(0.59560)))(/(*(x1)(0.98239))(-(x1)(x1)))) | Numero de nos: 15 | Erro: 434176700448768.0000000000000000000000000 |
(/(+(-(0.52663)(x1))(-(0.04584)(x1)))(+(+(x1)(0.36171))(+(0.30274)(0.34577)))) | Numero de nos: 15 | Erro: 434177170210816.0000000000000000000000000 |
(/(+(*(x1)(0.18012))(/(x1)(x1)))(/(+(0.36006)(0.02728))(+(x1)(x1)))) | Numero de nos: 15 | Erro: 433763209183232.0000000000000000000000000 |

MELHOR: (+(-(-(x1)(0.96445))(+(0.33586)(0.43742)))(*(*(x1)(x1))(*(x1)(x1)))) | Numero de nos: 15 | Erro: 223026659328.0000000000000000000000000 |
MELHOR: (+(-(-(x1)(0.96445))(+(0.33586)(0.43742)))(*(*(x1)(x1))(*(x1)(x1)))) | Numero de nos: 15 | Erro: 223026659328.0000000000000000000000000 |
MELHOR: (+(-(-(x1)(0.96445))(+(0.33586)(0.43742)))(*(*(x1)(x1))(*(x1)(x1)))) | Numero de nos: 15 | Erro: 223026659328.0000000000000000000000000 |
MELHOR: (+(*(0.75503)(+(*(/(x1)(/(+(-(/(*(-(0.07627)(0.05286))(x1))(0.49669))(x1))(x1))(0.41426)))(x1))(x1)))(*(*(x1)(x1))(*(x1)(x1)))) | Numero de nos: 29 | Erro: 221432725504.0000000000000000000000000 |
