/*-----------------------------------------------------------------
* NUMERO INDIVIDUOS: 100 	 CROSS-OVER: 0.90
* NUMERO GERACOES  : 1000 	 MUTACAO   : 0.40
* NUM MAXIMO NOS   : 30 	 ELITISMO  : 0.05
* PROFUNDIDADE MAX : 3 	 
*-----------------------------------------------------------------*/
Seed 3: 
(+(+(*(x1)(0.16550))(+(x1)(x1)))(/(*(x1)(0.95694))(*(0.95984)(x1)))) | Numero de nos: 15 | Erro: 434177136656384.0000000000000000000000000 |
(-(/(/(0.65383)(x1))(-(x1)(0.94794)))(*(+(0.71865)(x1))(+(x1)(x1)))) | Numero de nos: 15 | Erro: 435069952983040.0000000000000000000000000 |
(*(+(+(x1)(0.29902))(+(0.09915)(0.43187)))(*(/(0.12308)(0.05564))(+(x1)(0.47383)))) | Numero de nos: 15 | Erro: 433189931712512.0000000000000000000000000 |
(/(*(/(0.35539)(x1))(-(0.45094)(x1)))(-(-(0.59200)(x1))(*(x1)(0.70791)))) | Numero de nos: 15 | Erro: 434176633339904.0000000000000000000000000 |
(/(*(-(0.19089)(x1))(-(x1)(x1)))(-(-(0.65825)(x1))(/(x1)(x1)))) | Numero de nos: 15 | Erro: 434176633339904.0000000000000000000000000 |
(/(+(/(x1)(x1))(+(0.54350)(x1)))(-(-(0.78698)(0.77773))(-(0.12186)(0.45689)))) | Numero de nos: 15 | Erro: 434176499122176.0000000000000000000000000 |
(*(-(/(0.46358)(x1))(-(x1)(0.60228)))(+(*(0.53307)(0.03122))(+(x1)(0.99924)))) | Numero de nos: 15 | Erro: 434622940839936.0000000000000000000000000 |
(-(*(*(0.97119)(0.67934))(*(0.75021)(0.95764)))(-(*(x1)(x1))(+(0.70571)(x1)))) | Numero de nos: 15 | Erro: 434623410601984.0000000000000000000000000 |
(+(*(/(0.44694)(x1))(+(x1)(0.07910)))(+(-(x1)(x1))(-(x1)(x1)))) | Numero de nos: 15 | Erro: 434176499122176.0000000000000000000000000 |
(+(+(*(x1)(x1))(-(0.63610)(x1)))(/(+(0.69353)(0.12619))(*(0.40147)(x1)))) | Numero de nos: 15 | Erro: 433729520533504.0000000000000000000000000 |
(-(-(/(0.06708)(0.50069))(+(0.20276)(0.39415)))(*(/(x1)(0.56212))(-(x1)(0.44353)))) | Numero de nos: 15 | Erro: 434972074704896.0000000000000000000000000 |
(*(/(-(x1)(x1))(+(x1)(0.37287)))(*(-(0.13962)(0.99118))(-(x1)(x1)))) | Numero de nos: 15 | Erro: 434176633339904.0000000000000000000000000 |
(-(*(-(0.84210)(x1))(-(0.07651)(x1)))(+(/(0.97717)(0.50383))(/(0.21049)(0.04724)))) | Numero de nos: 15 | Erro: 433731265363968.0000000000000000000000000 |
(-(+(*(x1)(x1))(-(x1)(x1)))(+(*(x1)(x1))(/(x1)(0.39015)))) | Numero de nos: 15 | Erro: 434175626706944.0000000000000000000000000 |
(+(-(*(x1)(0.94885))(*(x1)(0.98733)))(*(*(x1)(x1))(*(0.14029)(0.80273)))) | Numero de nos: 15 | Erro: 434126301691904.0000000000000000000000000 |
(-(/(*(x1)(0.23069))(/(0.47258)(x1)))(+(*(x1)(x1))(+(x1)(x1)))) | Numero de nos: 15 | Erro: 434404535042048.0000000000000000000000000 |
(-(-(*(x1)(x1))(+(0.29597)(x1)))(+(-(0.88156)(x1))(/(x1)(x1)))) | Numero de nos: 15 | Erro: 433730627829760.0000000000000000000000000 |
(/(*(*(0.97586)(x1))(+(x1)(0.78024)))(*(*(x1)(x1))(/(x1)(0.14670)))) | Numero de nos: 15 | Erro: 434176633339904.0000000000000000000000000 |
(+(+(-(x1)(x1))(-(x1)(x1)))(-(*(x1)(x1))(*(0.98282)(0.10413)))) | Numero de nos: 15 | Erro: 433729990295552.0000000000000000000000000 |
(/(*(-(0.48018)(x1))(-(0.05918)(x1)))(+(-(x1)(x1))(*(0.94879)(x1)))) | Numero de nos: 15 | Erro: 434177103101952.0000000000000000000000000 |
(-(*(-(x1)(x1))(*(0.83605)(0.19309)))(/(+(0.61553)(0.77114))(+(0.93823)(0.28504)))) | Numero de nos: 15 | Erro: 434176868220928.0000000000000000000000000 |
(/(/(-(x1)(0.78179))(-(x1)(0.16193)))(/(/(0.48967)(0.81655))(*(x1)(x1)))) | Numero de nos: 15 | Erro: 433431657840640.0000000000000000000000000 |
(/(*(*(0.78204)(0.28855))(/(x1)(x1)))(-(*(0.59954)(x1))(*(0.05966)(x1)))) | Numero de nos: 15 | Erro: 434176633339904.0000000000000000000000000 |
(-(/(*(0.33927)(0.48726))(/(0.29984)(x1)))(/(/(0.31083)(x1))(/(x1)(x1)))) | Numero de nos: 15 | Erro: 434176734003200.0000000000000000000000000 |
(-(/(*(x1)(x1))(*(x1)(0.45689)))(*(+(x1)(x1))(-(x1)(0.10544)))) | Numero de nos: 15 | Erro: 435071261605888.0000000000000000000000000 |
(+(-(/(0.40208)(0.95022))(*(0.11240)(0.26078)))(-(+(x1)(0.04831))(-(0.49022)(x1)))) | Numero de nos: 15 | Erro: 434177270874112.0000000000000000000000000 |
(-(/(/(x1)(0.65996))(-(0.76376)(0.59023)))(/(*(x1)(x1))(/(0.35212)(0.99289)))) | Numero de nos: 15 | Erro: 435440393912320.0000000000000000000000000 |
(-(+(+(x1)(x1))(+(x1)(0.55769)))(-(+(x1)(0.29270))(*(0.45201)(x1)))) | Numero de nos: 15 | Erro: 434177472200704.0000000000000000000000000 |
(/(+(/(x1)(x1))(/(0.59014)(0.70730)))(/(*(0.48827)(x1))(+(x1)(x1)))) | Numero de nos: 15 | Erro: 434174586519552.0000000000000000000000000 |
