/*-----------------------------------------------------------------
* NUMERO INDIVIDUOS: 100 	 CROSS-OVER: 0.90
* NUMERO GERACOES  : 1000 	 MUTACAO   : 0.30
* NUM MAXIMO NOS   : 30 	 ELITISMO  : 0.05
* PROFUNDIDADE MAX : 3 	 
*-----------------------------------------------------------------*/
Seed 10: 
(+(-(+(x1)(x1))(-(0.15119)(0.32374)))(-(*(0.15177)(x1))(*(x1)(0.80749)))) | Numero de nos: 15 | Erro: 434177103101952.0000000000000000000000000 |
(+(*(-(x1)(0.52861))(-(x1)(0.73522)))(+(*(x1)(0.27375))(-(x1)(x1)))) | Numero de nos: 15 | Erro: 433729587642368.0000000000000000000000000 |
(+(+(+(x1)(0.85476))(-(x1)(x1)))(+(*(x1)(0.52217))(*(0.00504)(x1)))) | Numero de nos: 15 | Erro: 434176901775360.0000000000000000000000000 |
(-(*(*(x1)(x1))(/(x1)(x1)))(+(/(0.24277)(x1))(-(x1)(x1)))) | Numero de nos: 15 | Erro: 433729990295552.0000000000000000000000000 |
(+(+(+(0.68078)(x1))(*(0.28028)(0.95364)))(/(-(0.68783)(x1))(/(x1)(x1)))) | Numero de nos: 15 | Erro: 434176197132288.0000000000000000000000000 |
(-(+(+(x1)(x1))(+(x1)(0.98053)))(-(+(x1)(0.00717))(*(x1)(0.26383)))) | Numero de nos: 15 | Erro: 434177237319680.0000000000000000000000000 |
(+(*(/(x1)(0.40297))(*(0.61110)(0.88125)))(-(*(0.21824)(0.40461))(+(x1)(x1)))) | Numero de nos: 15 | Erro: 434176331350016.0000000000000000000000000 |
(*(*(+(x1)(x1))(+(0.07254)(0.21720)))(+(/(x1)(0.25797))(-(x1)(x1)))) | Numero de nos: 15 | Erro: 433173926248448.0000000000000000000000000 |
(/(*(/(x1)(0.20829))(-(x1)(0.42949)))(+(-(0.79214)(0.93509))(-(0.67031)(x1)))) | Numero de nos: 15 | Erro: 434174922063872.0000000000000000000000000 |
(*(*(/(x1)(0.21903))(*(x1)(0.38542)))(*(/(x1)(0.03589))(-(x1)(0.25184)))) | Numero de nos: 15 | Erro: 1004641572643405800.0000000000000000000000000 |
(*(/(*(x1)(x1))(*(0.45808)(x1)))(+(*(x1)(0.42018))(*(x1)(x1)))) | Numero de nos: 15 | Erro: 437266761646080.0000000000000000000000000 |
(*(*(*(0.68746)(0.61501))(*(0.50664)(x1)))(/(/(0.83053)(x1))(-(0.90606)(0.97876)))) | Numero de nos: 15 | Erro: 434177270874112.0000000000000000000000000 |
(/(*(/(0.30277)(x1))(*(x1)(x1)))(*(/(0.68886)(x1))(*(x1)(0.57366)))) | Numero de nos: 15 | Erro: 434176834666496.0000000000000000000000000 |
(/(/(*(0.80291)(0.83206))(+(0.10446)(0.98431)))(-(-(x1)(x1))(/(0.12284)(0.34190)))) | Numero de nos: 15 | Erro: 434177035993088.0000000000000000000000000 |
(*(*(*(0.19422)(0.17466))(*(x1)(0.13251)))(+(+(x1)(0.53432))(*(0.52544)(0.62590)))) | Numero de nos: 15 | Erro: 434174620073984.0000000000000000000000000 |
(/(-(*(x1)(x1))(+(0.88913)(x1)))(/(-(x1)(x1))(*(0.31639)(x1)))) | Numero de nos: 15 | Erro: 434176364904448.0000000000000000000000000 |
(+(+(*(x1)(x1))(-(0.77044)(x1)))(/(*(x1)(x1))(+(x1)(0.82723)))) | Numero de nos: 15 | Erro: 433729990295552.0000000000000000000000000 |
(/(+(+(0.41633)(0.25037))(/(0.44386)(0.75863)))(+(/(0.52290)(x1))(*(x1)(0.85452)))) | Numero de nos: 15 | Erro: 434176599785472.0000000000000000000000000 |
(-(/(/(x1)(0.32786))(/(0.74850)(0.39122)))(-(-(x1)(x1))(+(0.95285)(x1)))) | Numero de nos: 15 | Erro: 434177304428544.0000000000000000000000000 |

MELHOR: (-(-(0.92138)(/(0.35679)(0.40117)))(*(*(x1)(x1))(-(+(-(*(+(x1)(*(/(-(0.32310)(*(x1)(x1)))(x1))(x1)))(0.21375))(0.06507))(x1))(x1)))) | Numero de nos: 29 | Erro: 268144337747968.0000000000000000000000000 |
MELHOR: (-(-(0.92138)(/(0.35679)(0.40117)))(*(*(x1)(x1))(-(+(-(*(+(x1)(*(/(-(0.32310)(*(x1)(x1)))(x1))(x1)))(0.21375))(0.06507))(x1))(x1)))) | Numero de nos: 29 | Erro: 268144337747968.0000000000000000000000000 |
MELHOR: (-(-(0.92138)(/(0.35679)(0.40117)))(*(*(x1)(x1))(-(+(-(*(+(x1)(*(/(-(0.32310)(*(x1)(x1)))(x1))(x1)))(0.21375))(0.06507))(x1))(x1)))) | Numero de nos: 29 | Erro: 268144337747968.0000000000000000000000000 |
MELHOR: (+(*(+(-(/(+(0.12717)(*(+(*(*(+(+(/(x1)(x1))(+(x1)(0.88565)))(0.23402))(x1))(x1))(x1))(x1)))(x1))(0.07746))(x1))(x1))(0.69512)) | Numero de nos: 29 | Erro: 279347331072.0000000000000000000000000 |
