/*-----------------------------------------------------------------
* NUMERO INDIVIDUOS: 100 	 CROSS-OVER: 0.90
* NUMERO GERACOES  : 1000 	 MUTACAO   : 0.50
* NUM MAXIMO NOS   : 30 	 ELITISMO  : 0.05
* PROFUNDIDADE MAX : 3 	 
*-----------------------------------------------------------------*/
Seed 5: 
(+(/(*(0.07327)(x1))(*(x1)(x1)))(*(-(x1)(x1))(-(0.92883)(x1)))) | Numero de nos: 15 | Erro: 434176633339904.0000000000000000000000000 |
(*(/(*(x1)(x1))(/(x1)(x1)))(-(*(0.90112)(0.59047))(*(x1)(x1)))) | Numero de nos: 15 | Erro: 1737792757432320.0000000000000000000000000 |
(*(+(/(x1)(x1))(*(0.16776)(x1)))(+(+(0.17219)(0.65450))(*(0.66176)(0.38395)))) | Numero de nos: 15 | Erro: 434176331350016.0000000000000000000000000 |
(-(*(*(0.37675)(0.90515))(*(x1)(0.40519)))(-(+(x1)(x1))(+(x1)(x1)))) | Numero de nos: 15 | Erro: 434176734003200.0000000000000000000000000 |
(*(+(*(0.61159)(0.98791))(/(0.71508)(x1)))(+(/(0.00272)(x1))(/(0.00464)(0.68679)))) | Numero de nos: 15 | Erro: 434176633339904.0000000000000000000000000 |
(/(+(-(0.64016)(x1))(*(0.25459)(x1)))(-(*(0.99783)(0.01651))(/(x1)(x1)))) | Numero de nos: 15 | Erro: 434176935329792.0000000000000000000000000 |
(/(-(/(x1)(x1))(/(x1)(x1)))(+(-(0.99603)(x1))(+(0.38328)(0.10340)))) | Numero de nos: 15 | Erro: 434176633339904.0000000000000000000000000 |
(-(-(-(x1)(0.14859))(*(0.85238)(x1)))(/(-(x1)(0.41908))(-(x1)(0.27055)))) | Numero de nos: 15 | Erro: 434176968884224.0000000000000000000000000 |
(-(*(/(0.58064)(x1))(-(x1)(0.92029)))(*(*(0.50529)(0.96307))(-(0.73461)(x1)))) | Numero de nos: 15 | Erro: 434176633339904.0000000000000000000000000 |
(-(*(-(x1)(0.08289))(-(0.62310)(0.82052)))(-(*(0.60048)(0.63375))(/(x1)(0.74337)))) | Numero de nos: 15 | Erro: 434177103101952.0000000000000000000000000 |
(*(-(/(0.37565)(0.24461))(-(x1)(0.54454)))(/(-(x1)(0.30876))(+(x1)(x1)))) | Numero de nos: 15 | Erro: 434176029360128.0000000000000000000000000 |
(/(/(-(x1)(x1))(/(0.33985)(0.59514)))(*(*(0.89691)(0.34236))(*(0.72369)(0.83438)))) | Numero de nos: 15 | Erro: 434176633339904.0000000000000000000000000 |
(-(*(+(0.77172)(0.17643))(+(x1)(0.53111)))(-(*(x1)(0.54521))(+(x1)(0.82653)))) | Numero de nos: 15 | Erro: 434176700448768.0000000000000000000000000 |
(-(-(*(x1)(0.46062))(/(x1)(0.06357)))(/(+(x1)(x1))(-(0.09729)(x1)))) | Numero de nos: 15 | Erro: 434170392215552.0000000000000000000000000 |
(+(*(+(x1)(0.38652))(*(x1)(0.97449)))(*(+(0.58193)(x1))(-(0.52864)(x1)))) | Numero de nos: 15 | Erro: 434187941183488.0000000000000000000000000 |
(*(/(/(x1)(x1))(/(0.93634)(0.07431)))(-(/(x1)(0.72414))(/(0.79165)(x1)))) | Numero de nos: 15 | Erro: 434176633339904.0000000000000000000000000 |
(*(-(*(x1)(0.49974))(+(x1)(x1)))(/(-(0.87515)(0.05606))(-(x1)(0.16196)))) | Numero de nos: 15 | Erro: 434176868220928.0000000000000000000000000 |
(/(*(/(0.51186)(x1))(-(0.88086)(x1)))(-(/(0.28623)(x1))(/(x1)(x1)))) | Numero de nos: 15 | Erro: 434176499122176.0000000000000000000000000 |
(+(/(+(0.85665)(0.72463))(*(0.98166)(0.53447)))(*(/(x1)(x1))(-(0.70342)(0.14704)))) | Numero de nos: 15 | Erro: 434175727370240.0000000000000000000000000 |
(/(-(-(0.67504)(x1))(-(x1)(1.00000)))(*(/(x1)(x1))(*(0.11457)(x1)))) | Numero de nos: 15 | Erro: 434180995416064.0000000000000000000000000 |
(+(+(+(0.52657)(x1))(-(0.42750)(0.61043)))(*(/(0.93823)(x1))(+(x1)(x1)))) | Numero de nos: 15 | Erro: 434176364904448.0000000000000000000000000 |
(*(+(+(x1)(x1))(+(x1)(x1)))(/(-(0.98282)(0.78463))(/(0.55611)(0.17392)))) | Numero de nos: 15 | Erro: 434176633339904.0000000000000000000000000 |
(/(*(*(0.00259)(x1))(-(0.26688)(x1)))(/(-(0.93835)(x1))(-(0.42650)(x1)))) | Numero de nos: 15 | Erro: 434177841299456.0000000000000000000000000 |
(/(*(+(x1)(x1))(+(0.26331)(0.12931)))(-(+(x1)(x1))(/(x1)(x1)))) | Numero de nos: 15 | Erro: 434176499122176.0000000000000000000000000 |
(+(-(/(0.84866)(0.52580))(*(0.60356)(0.79434)))(/(*(0.16584)(x1))(/(x1)(x1)))) | Numero de nos: 15 | Erro: 434176364904448.0000000000000000000000000 |
(-(/(-(0.27436)(x1))(+(0.72405)(x1)))(/(+(0.62597)(0.05158))(-(x1)(x1)))) | Numero de nos: 15 | Erro: 434177170210816.0000000000000000000000000 |
(/(-(+(x1)(x1))(+(0.21818)(x1)))(/(*(0.84457)(0.63506))(*(x1)(x1)))) | Numero de nos: 15 | Erro: 437216128008192.0000000000000000000000000 |
(-(+(-(0.10654)(0.42524))(/(x1)(0.71929)))(/(*(x1)(x1))(-(x1)(x1)))) | Numero de nos: 15 | Erro: 434177371537408.0000000000000000000000000 |
(*(+(*(x1)(x1))(+(x1)(x1)))(*(*(x1)(0.15213))(-(x1)(x1)))) | Numero de nos: 15 | Erro: 434176633339904.0000000000000000000000000 |
(-(+(*(x1)(0.49937))(+(0.12070)(x1)))(-(+(x1)(0.32231))(/(x1)(x1)))) | Numero de nos: 15 | Erro: 434176499122176.0000000000000000000000000 |
(/(-(/(0.59731)(0.23075))(/(x1)(x1)))(/(-(0.14563)(x1))(*(0.16880)(x1)))) | Numero de nos: 15 | Erro: 434176700448768.0000000000000000000000000 |
