/*-----------------------------------------------------------------
* NUMERO INDIVIDUOS: 100 	 CROSS-OVER: 0.90
* NUMERO GERACOES  : 1000 	 MUTACAO   : 0.30
* NUM MAXIMO NOS   : 30 	 ELITISMO  : 0.05
* PROFUNDIDADE MAX : 3 	 
*-----------------------------------------------------------------*/
Seed 11: 
MELHOR: (-(-(/(-(0.97504)(+(*(x1)(*(*(x1)(*(-(/(+(+(*(0.57082)(x1))(0.28260))(0.38081))(x1))(x1))(x1)))(x1)))(x1)))(x1))(0.07434))(x1)) | Numero de nos: 29 | Erro: 551043792896.0000000000000000000000000 |
MELHOR: (-(-(/(-(0.97504)(+(*(x1)(*(*(x1)(*(-(/(+(+(*(0.57082)(x1))(0.62725))(0.38081))(x1))(x1))(x1)))(x1)))(x1)))(x1))(0.07434))(x1)) | Numero de nos: 29 | Erro: 550862389248.0000000000000000000000000 |
MELHOR: (-(-(/(-(0.15516)(+(*(x1)(*(*(x1)(*(-(/(+(+(*(0.57082)(x1))(0.28260))(0.38081))(x1))(x1))(x1)))(x1)))(x1)))(x1))(0.07434))(0.07434)) | Numero de nos: 29 | Erro: 550651166720.0000000000000000000000000 |
MELHOR: (-(-(/(-(0.97504)(+(*(x1)(*(*(x1)(*(-(/(+(/(x1)(x1))(0.38081))(x1))(x1))(x1)))(x1)))(x1)))(x1))(0.07434))(0.18494)) | Numero de nos: 27 | Erro: 222997790720.0000000000000000000000000 |
MELHOR: (-(-(/(-(0.97504)(+(*(x1)(*(*(x1)(*(-(/(+(/(x1)(x1))(0.38081))(x1))(x1))(x1)))(x1)))(x1)))(x1))(0.07434))(0.18494)) | Numero de nos: 27 | Erro: 222997790720.0000000000000000000000000 |
MELHOR: (-(-(/(-(0.97504)(+(*(x1)(*(*(x1)(*(-(/(+(/(x1)(x1))(0.38081))(x1))(x1))(x1)))(x1)))(x1)))(x1))(0.07434))(0.18494)) | Numero de nos: 27 | Erro: 222997790720.0000000000000000000000000 |
MELHOR: (-(-(/(-(0.15516)(+(*(x1)(*(*(x1)(*(-(/(-(/(x1)(x1))(x1))(x1))(x1))(x1)))(x1)))(0.15516)))(x1))(0.07434))(x1)) | Numero de nos: 27 | Erro: 500015616.0000000000000000000000000 |
MELHOR: (-(-(/(-(0.15516)(+(*(x1)(*(*(x1)(*(-(/(-(/(x1)(x1))(x1))(x1))(x1))(x1)))(x1)))(0.15516)))(x1))(0.07434))(x1)) | Numero de nos: 27 | Erro: 500015616.0000000000000000000000000 |
MELHOR: (-(-(/(-(0.15516)(+(*(x1)(*(*(x1)(*(-(/(-(0.15516)(x1))(x1))(x1))(x1)))(x1)))(0.15516)))(x1))(0.07434))(x1)) | Numero de nos: 25 | Erro: 166840560.0000000000000000000000000 |
MELHOR: (-(-(/(-(0.15516)(+(*(x1)(*(*(x1)(*(-(/(-(0.15516)(x1))(x1))(x1))(x1)))(x1)))(0.15516)))(x1))(0.07434))(x1)) | Numero de nos: 25 | Erro: 166840560.0000000000000000000000000 |
MELHOR: (-(-(/(-(0.15516)(+(*(x1)(*(*(x1)(*(-(/(-(0.15516)(x1))(x1))(x1))(x1)))(x1)))(0.15516)))(x1))(0.07434))(x1)) | Numero de nos: 25 | Erro: 166840560.0000000000000000000000000 |
MELHOR: (-(-(/(-(0.15516)(+(*(x1)(*(*(x1)(*(-(/(-(0.15516)(x1))(x1))(x1))(x1)))(x1)))(0.15516)))(x1))(0.07434))(x1)) | Numero de nos: 25 | Erro: 166840560.0000000000000000000000000 |
MELHOR: (-(-(/(-(0.97504)(+(*(x1)(*(*(x1)(*(-(/(-(-(-(x1)(0.71999))(x1))(x1))(x1))(x1))(x1)))(x1)))(x1)))(x1))(0.07434))(0.57082)) | Numero de nos: 29 | Erro: 9941506.0000000000000000000000000 |
MELHOR: (-(-(/(-(x1)(+(*(x1)(*(*(x1)(*(-(/(-(-(-(x1)(0.71999))(x1))(x1))(x1))(x1))(x1)))(x1)))(x1)))(x1))(0.07434))(0.57082)) | Numero de nos: 29 | Erro: 9891524.0000000000000000000000000 |
